Time,Message,Exc String,Exc StackTrace
2014-08-06 11:12:41.4601,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-06 11:40:19.7060,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-06 11:49:08.4862,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-06 11:52:14.6928,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-06 12:08:01.2720,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-06 12:08:23.4763,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-06 12:21:31.7343,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-06 12:22:04.9052,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-06 14:10:57.1039,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-06 14:55:32.2009,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-06 15:02:13.9738,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
2014-08-07 14:34:50.6058,EnterpriseLink - ComponentQty_PM:Object reference not set to an instance of an object.,"System.NullReferenceException: Object reference not set to an instance of an object.
   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()","   at UtilLibrary.CurrentProgram.LoadMachine()
   at UtilLibrary.CurrentProgram..ctor()
   at UtilLibrary.CurrentProgram.get_Instance()
   at PanaServices.PMListener_ComponentQty.Component_Process.ProcessMessage(ListenerMessageData message)
   at PanaServices.Common.Processor`1.ThreadFunction()"
Time,Message,Exc String,Exc StackTrace
2014-08-07 14:42:29.2511,Index (zero based) must be greater than or equal to zero and less than the size of the argument list.,"System.FormatException: Index (zero based) must be greater than or equal to zero and less than the size of the argument list.
   at System.Text.StringBuilder.AppendFormat(IFormatProvider provider, String format, Object[] args)
   at System.String.Format(IFormatProvider provider, String format, Object[] args)
   at Panasonic.MES.Common.Library.MesLoggingManager.Log(String loggerName, CommonLogLevel logLevel, String format, String[] args)
   at Panasonic.ExcelOutput.Common.PALogger.LogMessage(String message, LogLevel level)
   at Panasonic.ExcelOutput.Common.PALogger.WriteDubugMessage(LogLevel msgType, String appName, String routeName, String functionName, String message, Exception ex)
   at Panasonic.ExcelOutput.ExportToExcel.GenerateOutput.GenerateOuputFile(XmlExeConfigration _XMLExeConfiguration, String bgImageDir, String configFileName)","   at System.Text.StringBuilder.AppendFormat(IFormatProvider provider, String format, Object[] args)
   at System.String.Format(IFormatProvider provider, String format, Object[] args)
   at Panasonic.MES.Common.Library.MesLoggingManager.Log(String loggerName, CommonLogLevel logLevel, String format, String[] args)
   at Panasonic.ExcelOutput.Common.PALogger.LogMessage(String message, LogLevel level)
   at Panasonic.ExcelOutput.Common.PALogger.WriteDubugMessage(LogLevel msgType, String appName, String routeName, String functionName, String message, Exception ex)
   at Panasonic.ExcelOutput.ExportToExcel.GenerateOutput.GenerateOuputFile(XmlExeConfigration _XMLExeConfiguration, String bgImageDir, String configFileName)"
2014-08-07 14:42:29.3051,Index (zero based) must be greater than or equal to zero and less than the size of the argument list.,"System.FormatException: Index (zero based) must be greater than or equal to zero and less than the size of the argument list.
   at Panasonic.ExcelOutput.ExportToExcel.GenerateOutput.GenerateOuputFile(XmlExeConfigration _XMLExeConfiguration, String bgImageDir, String configFileName)
   at Panasonic.ExcelOutput.ExportToExcel.Program.Main(String[] args)","   at Panasonic.ExcelOutput.ExportToExcel.GenerateOutput.GenerateOuputFile(XmlExeConfigration _XMLExeConfiguration, String bgImageDir, String configFileName)
   at Panasonic.ExcelOutput.ExportToExcel.Program.Main(String[] args)"
Time,Message,Exc String,Exc StackTrace
2014-08-18 11:35:33.1002,Index (zero based) must be greater than or equal to zero and less than the size of the argument list.,"System.FormatException: Index (zero based) must be greater than or equal to zero and less than the size of the argument list.
   at System.Text.StringBuilder.AppendFormat(IFormatProvider provider, String format, Object[] args)
   at System.String.Format(IFormatProvider provider, String format, Object[] args)
   at Panasonic.MES.Common.Library.MesLoggingManager.Log(String loggerName, CommonLogLevel logLevel, String format, String[] args)
   at Panasonic.ExcelOutput.Common.PALogger.LogMessage(String message, LogLevel level)
   at Panasonic.ExcelOutput.Common.PALogger.WriteDubugMessage(LogLevel msgType, String appName, String routeName, String functionName, String message, Exception ex)
   at Panasonic.ExcelOutput.ExportToExcel.GenerateOutput.GenerateOuputFile(XmlExeConfigration _XMLExeConfiguration, String bgImageDir, String configFileName)","   at System.Text.StringBuilder.AppendFormat(IFormatProvider provider, String format, Object[] args)
   at System.String.Format(IFormatProvider provider, String format, Object[] args)
   at Panasonic.MES.Common.Library.MesLoggingManager.Log(String loggerName, CommonLogLevel logLevel, String format, String[] args)
   at Panasonic.ExcelOutput.Common.PALogger.LogMessage(String message, LogLevel level)
   at Panasonic.ExcelOutput.Common.PALogger.WriteDubugMessage(LogLevel msgType, String appName, String routeName, String functionName, String message, Exception ex)
   at Panasonic.ExcelOutput.ExportToExcel.GenerateOutput.GenerateOuputFile(XmlExeConfigration _XMLExeConfiguration, String bgImageDir, String configFileName)"
